,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,RentControls,Rent Controls,default,"An alternative to state-housing is a system where the state will regulate the private-rental market in a bid to ensure the supply of affordable housing for all, even within the private sector. Capitalists will naturally see this as a distortion of the free market that will prevent enough homes being built, whereas supporters will say it prevents exploitation of the poor by greedy landlords.",,4,18,7,10,WELFARE,10,12,,1,0,0,,#Effects,"PovertyRate,-0.03-(0.03*x)","Socialist,0.04+(0.04*x)","Capitalist,-0.1-(0.2*x)","PrivateHousing,-0.1-(0.15*x)","_LowIncome,0.03+(0.04*x)","Capitalist_income,-0.09-(0.04*x)",,,,,
#,SchoolVouchers,School Vouchers,default,"A measure designed to encourage the growth of private schooling, whilst still enabling everyone to afford an education. School  vouchers are issued by the State to parents for each child which they can then spend in the private sector on education. This is a different approach to pure state schooling because with school tax credits the schools are privately run and the teachers are no longer state employees.",,9,14,7,9,PUBLICSERVICES,320,8000,"PrivateSchools,0+(1.0*x)",1,0,0,,#Effects,"PrivateSchools,0+(0.6*x),2","_LowIncome,0+(0.13*x)","Equality,0+(0.05*x),8","_global_socialism,-0.01-(0.12*x),8",,,,,,,
#,OilDrillingSubsidy,Oil Drilling Subsidies,default,"To encourage investment in new oil and gas drilling, and thus raise the supply of fossil fuel energy for the country, these tax breaks effectively subsidize fossil fuels. This will indirectly reduce fuel prices and stimulate the economy, but will be an outrage to environmentalists.",,36,8,18,6,ECONOMY,200,32100,"GDP,0.75+(0.25*x)",1,0,0,,#Effects,"Environmentalist,-0.1-(0.25*x)","GDP,0+(0.02*x),12","OilSupply,0.06+(0.1*x),4",,,,,,,,
#,MansionTax,Mansion Tax,default,"A special high rate of tax charged annually on the ownership of super-expensive homes. This tax is popular with some because it is almost impossible to avoid, as homes cannot be easily hidden. It is perceived as unfair by some elderly people who may have expensive homes but relatively low incomes, and thus have difficulty in paying the annual tax. It is a form of wealth-tax, as opposed to income tax.",,26,19,10,12,TAX,32,34,,2,500,4000,"Wealthy_perc,0.75+(0.5*x)",#Effects,"Wealthy,-0.1-(0.15*x)","Retired,-0.8*(x^8)","Equality,0.28*(x^5)","Socialist,0.08+(0.10*x)",,,,,,,
#,FuelEfficiency,Fuel Efficiency Standards,default,"Mandatory standards for new cars which dictate the minimum level of fuel efficiency. This is a long term measure aimed to raise the fuel efficiency of the country's cars, and thus reduce our dependence on oil, as well as reducing the cost of driving over the long term. It will be unpopular with car manufacturers, but a hit with environmentalists.",,6,15,2,7,TRANSPORT,20,22,,2,0,0,,#Effects,"OilDemand,-0.04-(0.10*x),24","Motorist_income,0.02+(0.08*x),24","CarUsage,0.02+(0.06*x),24","Environmentalist,0.04+(0.04*x)","Capitalist,-0.01-(0.02*x)","CO2Emissions,0-(0.1*x),8",,,,,
#,ForeignInvestorTaxBreaks,Foreign Investor Tax Breaks,default,"Special tax breaks given to large foreign-owned multinational companies to encourage them to invest in our country. This could include tax-free periods, introductory rates of corporate tax, and straight subsidies to encourage investment. Helps to encourage investment from overseas, but will be seen as incredibly unpatriotic, and pandering to the whims of huge foreign capitalist organizations.",,10,7,7,1,ECONOMY,600,6000,"GDP,0.75+(0.25*x)",1,0,0,,#Effects,"Patriot,-0.1-(0.14*x)","GDP,0.03+(0.05*x),4",,,,,,,,,
#,RoboticsResearch,Robotics Research Grants,default,"A special grant to encourage research in robotics. Robotics is a very long term area of research which will eventually bring about vast boosts in productivity, but at the same time it will reduce the amount of low or semi-skilled jobs in the economy, and thus potentially lead to higher unemployment.",,6,7,1,3,ECONOMY,100,2100,,2,0,0,,#Effects,"Technology,0.01+(0.06*x),16","WorkerProductivity,0.02+(0.1*x),16","Unemployment,0-(0.06*x),2","TradeUnionist,-0.06-(0.1*x)","Unemployment,0+(0.19*x),20",,,,,,
#,PrivatePrisons,Private Prisons,default,"Rather than directly control and manage a State prison service, this policy allows prisons to be privately owned and managed, and merely paid for by the state. Private prisons could result in lower cost and higher efficiency. These measures will be unpopular with trade unionists. Liberals will have ethical concerns about profiting from incarceration, but still be pleased if spending is high enough to promote rehabilitation.",,20,3,7,3,LAWANDORDER,80,1520,"CrimeRate,0.1+(0.9*x)",5,0,0,,#Effects,"CrimeRate,0.00-(0.07*x)","Liberal,-0.05+(x^2)*0.11","Conservatives,0.00+(0.12*x)",,"Unemployment,0-(0.02*x)","Capitalist,0+(0.11*x)","TradeUnionist,-0.06-(0.06*x)",,,,
#,JunkFoodTax,Junk Food Tax,junkfood,"A punitive tax rate charged on unhealthy food such as takeaway hamburgers, fizzy drinks and high sugar or fat content pre-processed food. Levied with the aim of improving the health of the nation, but can be unpopular.",,6,6,4,1,TAX,4,5,,1,23,102,,#Effects,"Health,0.03+(0.06*x),8","Young,-0.02-(0.04*x)","_LowIncome,-0.02-(0.03*x)","PovertyRate,0.02+(0.02*x)",,,,,,,
#,HealthFoodSubsidies,Health Food Subsidies,default,"A tax incentive that makes healthy food, such as fruit and vegetables, cheaper than the higher fat or higher sugar foods. Seen as an incentive to eat well, rather than a punishment for eating badly, and thus less punitive on the poor than a 'fat tax'.",,3,6,1,1,TAX,12,90,"Health,0.75+(0.25*x)",1,0,0,,#Effects,"Health,0.03+(0.06*x),8","_LowIncome,0.02+(0.02*x)",,,,,,,,,
#,Tasers,Tasers,tasers,A non-lethal but still highly effective (and possibly dangerous) weapon which effectively gives criminals an electric shock. Supporters say it is a good compromise between the need to disable violent criminals and the risk of death associated with traditional firearms. Opponents claim that the use of such weapons lowers the barrier-to-use for the police and will encourage more casual use of force against the population.,,25,6,3,3,LAWANDORDER,200,400,,2,0,0,,#Effects,"Liberal,-0.08-(0.08*x)","CrimeRate,-0.05-(0.05*x)","ViolentCrimeRate,-0.10-(0.05*x)","_security_,0.015+(0.02*x)",,,,,,,
#,PoliceDrones,Police Drones,default,"Unmanned aerial reconnaissance vehicles, similar to remote control planes which can be employed by the police force. The 'eye in the sky' is a useful way to keep track of mobs and rioters, and allows for subtle yet effective surveillance. The police see it as a vital tool for modern crime fighting, but there are concerns that this is a step further towards a big-brother style surveillance society where everyone is tracked.",,16,6,3,3,LAWANDORDER,500,1400,,4,0,0,,#Effects,"Liberal,-0.1-(0.1*x)","CrimeRate,-0.08-(0.05*x)","ViolentCrimeRate,-0.02-(0.05*x)","_security_,0.03+(0.03*x)","_Terrorism,-0.1-(0.03*x)",,,,,,
#,ArtsSubsidies,Arts Subsidies,artssubsidies,"Investing public money in the arts is controversial with capitalists who see it as supporting uneconomic elitist entertainment, but others see it as vital to a countries culture, boosting our image on the world stage, and attracting tourists.",,13,15,3,6,PUBLICSERVICES,50,575,,4,0,0,,#Effects,"Liberal,0.01+(0.08*x)","Capitalist,-0.01-(0.03*x)","ForeignRelations,0+(0.07*x),32","Tourism,0+(0.10*x),24","Education,0+(0.03*x),16","_global_liberalism,-0.01+(0.06*x),16",,,,,
#,HealthcareVouchers,Healthcare Vouchers,default,"A measure designed to encourage the growth of private health care whilst still enabling everyone access to it. Healthcare vouchers are  issued by the State to everyone but can then only be spent in the private sector on health care. This is a different approach to pure State health care because with health tax credits, the hospitals are privately run and the medical staff are no longer state employees.",,13,14,7,10,PUBLICSERVICES,2000,15000,"_default_,0.6;TobaccoUse,0+(0.1*x);AlcoholConsumption,0+(0.2*x);Environment,0.2-(0.1*x);Alcoholism,0.1+(0.1*x)",1,0,0,,#Effects,"_LowIncome,0+(0.17*x)","_MiddleIncome,0+(0.08*x)","Equality,0+(0.1*x),8","_global_socialism,-0.01-(0.12*x),8","PrivateHealthcare,0+(0.6*x),2",,,,,,
#,HealthTaxCredits,Health Tax Credits,default,"A system of tax-reductions and credits designed to encourage people to spend their money on private healthcare, in order to reduce their tax liability. This boosts healthcare without involving the state running hospitals or employing doctors, but it's effect is limited to those people in society earning enough to be paying tax in the first place.",,20,16,8,8,TAX,1000,8000,"_default_,0.6;TobaccoUse,0+(0.1*x);AlcoholConsumption,0+(0.2*x);Environment,0.2-(0.1*x);Alcoholism,0.1+(0.1*x)",1,0,0,,#Effects,"PrivateHealthcare,0+(0.3*x),2","_MiddleIncome,0+(0.08*x)","_HighIncome,0+(0.06*x)","Wealthy,0.02+(0.06*x)","MiddleIncome,0.04+(0.06*x)","Socialist,-0.01-(0.05*x)","Poor,-0.01-(0.05*x)","Capitalist,0.02+(0.04*x)",,,
#,SchoolTaxCredits,School Tax Credits,default,A system of tax-reductions and credits designed to encourage people to spend their money on private education in order to reduce their tax liability. This boosts private schooling without involving the State running schools or employing teachers but it's effect is limited to those people in society earning enough to be paying tax in the first place.,,19,15,8,8,TAX,200,5000,,1,0,0,,#Effects,"PrivateSchools,0+(0.4*x),2","_MiddleIncome,0+(0.08*x)","_HighIncome,0+(0.06*x)","Wealthy,0.02+(0.06*x)","MiddleIncome,0.04+(0.06*x)","Socialist,-0.01-(0.05*x)","Poor,-0.01-(0.05*x)","Capitalist,0.02+(0.04*x)",,,
#,FoodStamps,Food Stamps,default,"Food stamps is a system where the state will issue vouchers or 'stamps' to those citizens on low or no income, to ensure they are able to afford food. Unlike giving a straight cash benefit, food stamps can only be redeemed for uncooked food, preventing them being used for unhealthy takeaway food. Supporters see food stamps as a valuable way to ensure nobody goes hungry, no matter their income. Critics consider such a scheme patronizing, and no more than papering over the cracks caused by free market failure and low wages.",,4,24,4,10,WELFARE,250,4000,"Poor_perc,0+(1.0*x)",1,0,0,,#Effects,"Health,0.01+(0.02*x),8","_LowIncome,0.03+(0.012*x)","Poor,0.04+(0.15*x)","PovertyRate,-0.03-(0.12*x)","Socialist,0.02+0.08*x)","Farmers_income,0+(0.03*x)","Farmers,0+(0.03*x)","Equality,0.02+(0.08*x)",,,
#,FoodStandards,Food Standards Agency,default,"A food standards agency is a branch of government dedicated to ensuring the safety and minimum nutritional standards of food supplied within the country. Farmers may regard the agency as an extra layer of bureaucracy and meddling, but public health campaigners see the agency as an essential line of defense between the consumer and unscrupulous food producers looking to cut costs.",,7,10,2,2,PUBLICSERVICES,22,65,,4,0,0,,#Effects,"Farmers,-0.02-(0.04*x)","Liberal,0.01+(0.04*x)","Health,0.01+(0.03*x),12","Obesity,-0.01-(0.02*x),4",,,,,,,
#,EnterpriseInvestmentScheme,Enterprise Investment Scheme,default,"The Enterprise Investment Scheme is a system which gives tax breaks to wealthy individuals who invest their money in small startup companies which are based in this country. The scheme encourages investment in companies which should eventually grow and stimulate the economy, whilst at the same time giving a popular tax break to people who invest in them. Obviously indirectly, the scheme is being subsidized by those without savings to invest.",,7,10,6,6,TAX,120,2000,"GDP,0.25+(0.75*x)",1,0,0,,#Effects,"SelfEmployed,0.10+(0.2*x)","GDP,0.01+(0.05*x),16","Capitalist,0+(0.05*x)","_global_socialism,-0.04-(0.06*x),12","SelfEmployed_freq,0.02+(0.06*x),4","SelfEmployed_income,0.01+(0.09*x)","_HighIncome,0+(0.12*x)",,,,
#,RecreationalDrugsTax,Recreational Drugs Tax,default,"In societies that have legalized drugs such as Cannabis and Marijuana, there is a temptation to treat consumption of these drugs as a source of government revenue, given the claims that their consumption should be politely discouraged due to the negative effects on citizens health, in a similar way to governments taxing alcohol or tobacco.",,8,8,5,5,TAX,0,0,,1,0,5200,"LegalDrugConsumption,0+(1.0*x)",#Effects,"Young,0-(0.08*x)","Poor,0-(0.05*x)","PovertyRate,0+(0.06*x)","LegalDrugConsumption,-0.1*(x^2))",,,,,,,
